RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
78,Jeremy Lamb,CHA,80,24.6,4.8,10.4,0.457,1.2,3.2,0.37,2.2,2.6,0.861,0.6,3.4,4.1,2.3,0.8,0.4,1.2,12.9,13.3
79,Josh Richardson,MIA,81,33.2,4.9,10.9,0.451,1.6,4.1,0.378,1.5,1.8,0.845,0.9,2.7,3.5,2.9,1.5,0.9,1.7,12.9,13.7
80,Al Horford,BOS,72,31.6,5.1,10.5,0.489,1.3,3.1,0.429,1.3,1.7,0.783,1.4,5.9,7.4,4.7,0.6,1.1,1.8,12.9,19.1
81,Kent Bazemore,ATL,65,27.5,4.4,10.4,0.42,1.7,4.2,0.394,2.5,3.1,0.796,0.4,3.4,3.8,3.5,1.5,0.7,2.4,12.9,13.3
82,Willie Cauley-Stein,SAC,73,28,5.3,10.6,0.502,0,0.2,0.25,2.1,3.4,0.619,1.8,5.2,7,2.4,1.1,0.9,1.5,12.8,16
83,Myles Turner,IND,65,28.2,4.7,9.8,0.479,0.9,2.4,0.357,2.5,3.2,0.777,1.4,5,6.4,1.3,0.6,1.8,1.5,12.7,15.6
84,Wesley Matthews,DAL,63,33.8,4.5,11.1,0.406,2.4,6.4,0.381,1.3,1.6,0.822,0.4,2.7,3.1,2.7,1.2,0.3,1.3,12.7,11.9
85,Jonas Valanciunas,TOR,77,22.4,5.1,8.9,0.568,0.4,1,0.405,2.2,2.7,0.806,2.4,6.2,8.6,1.1,0.4,0.9,1.5,12.7,17.7
86,Elfrid Payton,PHX,63,28.7,5.2,10.6,0.493,0.5,1.5,0.326,1.7,2.7,0.649,1,3.3,4.3,6.2,1.3,0.3,2.7,12.7,15.9
87,Serge Ibaka,TOR,76,27.5,5,10.3,0.483,1.4,3.9,0.36,1.2,1.6,0.797,1,5.3,6.3,0.8,0.4,1.3,1.2,12.6,14.6
88,Robert Covington,PHI,80,31.6,4.3,10.5,0.413,2.5,6.9,0.369,1.5,1.7,0.853,0.7,4.7,5.4,2,1.7,0.9,1.6,12.6,14.6
89,Spencer Dinwiddie,BKN,80,28.8,4.1,10.5,0.387,1.8,5.4,0.326,2.7,3.4,0.813,0.5,2.7,3.2,6.6,0.9,0.3,1.6,12.6,14.9
90,E'Twaun Moore,NOP,82,31.5,5.2,10.1,0.508,1.6,3.7,0.425,0.6,0.8,0.706,0.7,2.2,2.9,2.3,1,0.1,1.2,12.5,12.3
91,Darren Collison,IND,69,29.2,4.6,9.2,0.495,1.4,3,0.468,1.8,2.1,0.882,0.5,2,2.6,5.3,1.3,0.2,1.2,12.4,15.7
92,Derrick Favors,UTA,77,28,5.1,9.1,0.563,0.2,0.8,0.222,1.8,2.8,0.651,2.6,4.6,7.2,1.3,0.7,1.1,1.1,12.3,16.4
93,Taj Gibson,MIN,82,33.2,5.2,9,0.577,0.1,0.4,0.2,1.7,2.3,0.768,2.4,4.8,7.1,1.2,0.8,0.7,1.1,12.2,16.6
94,Justin Holiday,CHI,72,31.5,4,10.9,0.371,2.2,6.2,0.359,1.9,2.3,0.823,0.4,3.6,4,2.1,1.1,0.4,1.3,12.2,11.3
95,Marco Belinelli,PHI,80,24.3,4.2,9.6,0.441,1.9,4.9,0.377,1.9,2,0.908,0.3,1.6,1.9,1.9,0.8,0.2,1.2,12.1,10.2
96,Caris LeVert,BKN,71,26.3,4.5,10.4,0.435,1.2,3.5,0.347,1.9,2.6,0.711,0.7,2.9,3.7,4.2,1.2,0.3,2.2,12.1,12.7
97,DeAndre Jordan,LAC,77,31.5,4.8,7.5,0.645,0,0,0,2.4,4.1,0.58,4.3,10.9,15.2,1.5,0.5,0.9,1.8,12,24.1
97,Dirk Nowitzki,DAL,77,24.7,4.5,9.8,0.456,1.8,4.4,0.409,1.3,1.4,0.898,0.3,5.4,5.7,1.6,0.6,0.6,0.7,12,14.3
99,Courtney Lee,NYK,76,30.4,4.5,9.9,0.454,1.5,3.7,0.406,1.5,1.6,0.919,0.4,2.6,2.9,2.4,1.1,0.2,1.1,12,11.9
100,Robin Lopez,CHI,64,26.4,5.3,10.1,0.53,0.1,0.2,0.286,1.1,1.4,0.756,2.1,2.4,4.5,1.9,0.2,0.8,1.7,11.8,12.6
