"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"15","Stephen Curry","GSW","79","2639","675","1443","0.468","324","789","0.411","325","362","0.898","61","292","353","524","142","17","239","183","1999","1991","2.19","0.59"
"16","Chris Paul","LAC","61","1921","374","785","0.476","124","302","0.411","232","260","0.892","40","264","304","563","119","8","147","146","1104","1512","3.83","0.81"
"17","Channing Frye","CLE","74","1398","238","520","0.458","137","335","0.409","63","74","0.851","37","253","290","45","33","37","53","138","676","735","0.85","0.62"
"18","Mike Conley","MEM","69","2292","464","1009","0.46","171","419","0.408","316","368","0.859","31","210","241","433","92","19","156","126","1415","1447","2.78","0.59"
"19","Tony Snell","MIL","80","2336","246","541","0.455","144","355","0.406","47","58","0.81","22","226","248","96","55","14","55","125","683","735","1.75","1"
"20","Goran Dragic","MIA","73","2459","534","1124","0.475","117","289","0.405","298","377","0.79","62","217","279","423","89","13","212","199","1483","1406","2","0.42"
"21","Bradley Beal","WAS","77","2684","637","1322","0.482","223","552","0.404","282","342","0.825","53","187","240","267","83","21","156","169","1779","1489","1.71","0.53"
"22","Nick Young","LAL","60","1556","272","633","0.43","170","421","0.404","77","90","0.856","25","113","138","58","37","14","36","137","791","628","1.61","1.03"
"23","George Hill","UTA","49","1544","289","606","0.477","94","233","0.403","157","196","0.801","23","144","167","204","50","11","85","114","829","820","2.4","0.59"
"24","Ryan Anderson","HOU","72","2116","323","773","0.418","204","506","0.403","129","150","0.86","112","218","330","68","31","14","55","142","979","896","1.24","0.56"
"25","Courtney Lee","NYK","77","2459","321","704","0.456","108","269","0.401","85","98","0.867","53","206","259","179","81","24","69","141","835","913","2.59","1.17"
"26","Kyrie Irving","CLE","72","2525","671","1420","0.473","177","441","0.401","297","328","0.905","52","178","230","418","83","24","180","157","1816","1611","2.32","0.46"
"27","Kemba Walker","CHA","79","2739","643","1449","0.444","240","602","0.399","304","359","0.847","45","263","308","434","85","22","168","119","1830","1650","2.58","0.51"
"28","Jae Crowder","BOS","72","2335","333","720","0.463","157","394","0.398","176","217","0.811","48","367","415","155","73","23","80","161","999","1157","1.94","0.91"
"29","Gordon Hayward","UTA","73","2516","545","1156","0.471","149","374","0.398","362","429","0.844","49","345","394","252","73","20","140","117","1601","1522","1.8","0.52"
"30","Dion Waiters","MIA","46","1384","281","663","0.424","85","215","0.395","82","127","0.646","18","135","153","200","42","20","103","95","729","614","1.94","0.41"
"31","Paul George","IND","75","2689","622","1348","0.461","195","496","0.393","336","374","0.898","58","434","492","251","119","27","220","206","1775","1680","1.14","0.54"
"32","Manu Ginobili","SAS","69","1291","171","439","0.39","89","227","0.392","86","107","0.804","28","129","157","183","82","16","96","119","517","570","1.91","0.85"
"33","Anthony Tolliver","SAC","65","1477","155","351","0.442","90","230","0.391","61","82","0.744","51","186","237","77","34","20","56","109","461","556","1.38","0.61"
"34","Serge Ibaka","TOR","79","2422","471","982","0.48","124","317","0.391","107","125","0.856","129","409","538","75","41","124","105","215","1173","1317","0.71","0.39"
"35","Buddy Hield","SAC","82","1888","327","767","0.426","148","379","0.391","64","76","0.842","35","234","269","121","38","9","101","115","866","750","1.2","0.38"
"36","Avery Bradley","BOS","55","1835","359","775","0.463","108","277","0.39","68","93","0.731","65","269","334","122","68","11","88","141","894","900","1.39","0.77"
"37","Langston Galloway","SAC","74","1494","207","545","0.38","120","308","0.39","51","64","0.797","27","129","156","93","46","6","46","96","585","489","2.02","1"
"38","Danilo Gallinari","DEN","63","2134","335","750","0.447","126","324","0.389","349","387","0.902","39","286","325","135","40","15","82","93","1145","1125","1.65","0.49"
"39","Troy Daniels","MEM","67","1183","185","495","0.374","138","355","0.389","43","54","0.796","22","78","100","46","20","4","45","90","551","355","1.02","0.44"
"40","Jameer Nelson","DEN","75","2045","268","604","0.444","106","273","0.388","45","63","0.714","28","164","192","385","54","8","128","197","687","844","3.01","0.42"
"41","Marc Gasol","MEM","74","2531","532","1160","0.459","104","268","0.388","278","332","0.837","60","404","464","338","67","99","166","171","1446","1566","2.04","0.4"
"42","Zach LaVine","MIN","47","1749","326","710","0.459","120","310","0.387","117","140","0.836","19","141","160","139","41","10","85","104","889","747","1.64","0.48"
"43","Joe Harris","BKN","52","1138","154","362","0.425","85","221","0.385","35","49","0.714","16","131","147","54","30","8","55","121","428","390","0.98","0.55"
"44","Patrick Beverley","HOU","67","2058","228","543","0.42","110","288","0.382","73","95","0.768","95","298","393","281","99","25","100","222","639","1000","2.81","0.99"
"45","Alex Abrines","OKC","68","1055","134","341","0.393","94","247","0.381","44","49","0.898","18","68","86","40","37","8","33","114","406","332","1.21","1.12"
"46","Kawhi Leonard","SAS","74","2475","636","1312","0.485","147","387","0.38","469","533","0.88","80","350","430","260","133","55","154","122","1888","1872","1.69","0.86"
"47","Danny Green","SAS","68","1807","176","449","0.392","118","311","0.379","27","32","0.844","31","193","224","124","70","57","76","120","497","618","1.63","0.92"
"48","Isaiah Thomas","BOS","76","2569","682","1473","0.463","245","646","0.379","590","649","0.909","42","162","204","448","70","13","210","167","2199","1874","2.13","0.33"
"49","Vince Carter","MEM","73","1800","193","490","0.394","112","296","0.378","88","115","0.765","36","191","227","133","60","36","50","163","586","668","2.66","1.2"
"50","Wayne Ellington","MIA","62","1500","231","555","0.416","149","394","0.378","37","43","0.86","18","114","132","70","35","4","30","70","648","529","2.33","1.17"
"51","Kevin Durant","GSW","62","2070","551","1026","0.537","117","312","0.375","336","384","0.875","39","474","513","300","66","99","138","117","1555","1872","2.17","0.48"
"52","Kevin Love","CLE","60","1885","370","867","0.427","145","389","0.373","257","295","0.871","148","518","666","116","53","21","122","125","1142","1341","0.95","0.43"
"53","Garrett Temple","SAC","65","1728","183","432","0.424","82","220","0.373","58","74","0.784","32","152","184","168","84","28","78","141","506","627","2.15","1.08"
"54","Eric Gordon","HOU","75","2323","412","1016","0.406","246","661","0.372","147","175","0.84","29","172","201","188","48","41","121","150","1217","942","1.55","0.4"
"55","Tyler Johnson","MIA","73","2177","357","824","0.433","93","250","0.372","195","254","0.768","50","243","293","233","84","44","90","176","1002","1040","2.59","0.93"
"56","Marreese Speights","LAC","82","1286","244","548","0.445","103","277","0.372","120","137","0.876","88","285","373","65","23","41","69","229","711","823","0.94","0.33"
"57","Patrick Patterson","TOR","65","1599","154","384","0.401","94","253","0.372","43","60","0.717","62","231","293","76","40","23","38","120","445","592","2","1.05"
